iter	RMSE
0	0.5874567058
1	0.5736955297
2	0.5616070338
3	0.5493577059
4	0.5387596166
5	0.5299835019
6	0.519257378
7	0.5097480262
8	0.5021277736
9	0.4929485181
10	0.4849233429
11	0.4769506045
12	0.4706801516
13	0.4633062263
14	0.4568982243
15	0.4500504826
16	0.443333837
17	0.4374753955
18	0.4309824912
19	0.4251853601
20	0.420139187
21	0.4148749369
22	0.4106311709
23	0.4071947473
24	0.4030664908
25	0.3977688433
26	0.3942877822
27	0.3904793714
28	0.3859194859
29	0.3822461834
30	0.3791964268
31	0.3769339897
32	0.3742324222
33	0.3707751017
34	0.3683254714
35	0.3647656241
36	0.3626507935
37	0.3594378972
38	0.3564012351
39	0.3534734567
40	0.3507157394
41	0.3482236272
42	0.3457680208
43	0.3434009013
44	0.3412508792
45	0.3394429993
46	0.3376063197
47	0.335975227
48	0.3344244243
49	0.3330414625
50	0.3311868415
51	0.3297487205
52	0.3282036783
53	0.3267517098
54	0.3253614983
55	0.3242455919
56	0.3230028603
57	0.3220239008
58	0.3210183423
59	0.3199232555
60	0.3186264639
61	0.3174100167
62	0.3158882584
63	0.314720149
64	0.3134519506
65	0.3126426347
66	0.3119226487
67	0.3111728702
68	0.3101447842
69	0.3094049078
70	0.3086387028
71	0.307507552
72	0.3063059626
73	0.3051640655
74	0.3040700731
75	0.3028388986
76	0.3020221023
77	0.3013006501
78	0.3007474905
79	0.3002908785
80	0.2996950361
81	0.2990490582
82	0.2986198856
83	0.297494322
84	0.2970645531
85	0.2965512083
86	0.2956148758
87	0.2951264831
88	0.2943147653
89	0.2935675224
90	0.2931518953
91	0.2922472149
92	0.2913930074
93	0.2907690447
94	0.2898550675
95	0.2892086712
96	0.2886527233
97	0.2879304594
98	0.2875083653
99	0.2866209232
100	0.2857942961
1101	0.2801726246
102	0.2793386702
103	0.2783027367
104	0.277816795
105	0.2774956147
106	0.277010738
107	0.2763941791
108	0.2757077552
109	0.2752472619
110	0.2747252995
111	0.2740347049
112	0.2733113129
113	0.272494391
114	0.2722571869
115	0.2719307479
116	0.2715849291
117	0.2712914764
118	0.2707437571
119	0.2702013031
120	0.2697164322
121	0.2693724209
122	0.269182123	0123	0.2686793282
124	0.268101805
125	0.2676041629
126	0.2673566074
127	0.2671516285
128	0.2664023593
129	0.2659804171
130	0.265617268
131	0.2650447425
132	0.2646419568
133	0.2643795411
134	0.2640388673
135	0.2634425791
136	0.2630675287
137	0.2626980364
138	0.2623652401
139	0.2621741851
140	0.2616332809
141	0.2609972816
142	0.2606893919
143	0.2602571903
144	0.2596319487
145	0.259377146	146	0.2587917177
147	0.2583213409
148	0.2576963564
149	0.2573105632
150	0.2566361669
151	0.2562252033
152	0.2558781367
153	0.2554279555
154	0.2549335523
155	0.2545065138
156	0.2541171247
157	0.2535532008
158	0.253140505
159	0.252528864
160	0.2519531777
161	0.2516298975
162	0.2510630976
163	0.250606447
164	0.2499364745
165	0.2496443974
166	0.2490681422
167	0.2486101944
168	0.2481789641
169	0.2477627927
170	0.2473701869
171	0.2471271404
172	0.2468348715
173	0.2463550528
174	0.245896973
175	0.2455058719
176	0.245335612
177	0.2447805883
178	0.2445045517
179	0.2440765541
180	0.2437805509
181	0.2435759709
182	0.2429145836
183	0.2425314591
184	0.2421457889
185	0.241746706
186	0.2413318631
187	0.240828584
188	0.2403827678
189	0.2402991481
190	0.2397890631
191	0.2394784718
192	0.2389904426
193	0.2386751803
194	0.2383259736
195	0.2378782317
196	0.2374288057
197	0.2369780999
198	0.2369115261
199	0.2365577559
200	0.2362765081
201	0.2358561861
202	0.2353210312
203	0.2349286036
204	0.2345069445
205	0.2340622767
206	0.2335476703
207	0.2331157108
208	0.232741983
209	0.2321360227
210	0.231965758
211	0.2316552334
212	0.2315626694
213	0.2312851704
214	0.2308715008
215	0.2303547269
216	0.2302916857
217	0.2297559695
218	0.2293926855
219	0.2289780506
220	0.2285766776
221	0.2281965208
222	0.2276361192
223	0.2272209618
224	0.227153351
225	0.2267492579
226	0.2267210169
227	0.2263483353
228	0.2259855678
229	0.2255516156
230	0.2252534413
231	0.2249237086
232	0.2248821474
233	0.2243736153
234	0.2240719228
235	0.2240118486
236	0.2239953091
237	0.223624453
238	0.2233593724
239	0.2230919608
240	0.2228295818
241	0.2227745713
242	0.2227590549
243	0.2223656278
244	0.2220199231
245	0.2216275991
246	0.2213284868
247	0.220953876
248	0.2206602947
249	0.2203013607
250	0.2199587661
251	0.2197629631
252	0.2194618388
253	0.2192140704
254	0.2191642166
255	0.2191201372
256	0.2188527039
257	0.2185597421
258	0.2182374862
259	0.2180143565
260	0.2176111429
261	0.2175658796
262	0.2171714405
263	0.2168235543
264	0.216596957
265	0.2163619877
266	0.2161010383
267	0.215837866
268	0.2158222424
269	0.2155820891
270	0.2152858957
271	0.2149892588
272	0.2149746729
273	0.2147749247
274	0.2147610623
275	0.2145552186
276	0.2140910186
277	0.2136280587
278	0.2133330655
279	0.2130716471
280	0.2127370024
281	0.212593463
282	0.2121562008
283	0.2118373296
284	0.2115020577
285	0.2112953745
286	0.2111671303
287	0.2107553115
288	0.2104895749
289	0.2102864172
290	0.2098764042
291	0.2098202072
292	0.2094007173
293	0.2091050646
294	0.2087093891
295	0.2085224647
296	0.2082092884
297	0.2079477817
298	0.2076654868
299	0.2072859142
300	0.2072353971
301	0.2069441799
302	0.2067115042
303	0.2064735466
304	0.206461383
305	0.2062788301
306	0.206018141
307	0.2059124492
308	0.2058628143
309	0.2058029736
310	0.2057911497
311	0.2057399697
312	0.2055475162
313	0.2051750802
314	0.2049770904
315	0.204637937
316	0.2043357006
317	0.204119951
318	0.2039651796
319	0.203823794
320	0.2034978318
321	0.2032693711
322	0.2030383048
323	0.2027365985
324	0.2023287644
325	0.2021399904
326	0.2019736612
