iter	Passed	Remaining
0	144	144494
1	151	75379
2	158	52827
3	163	40749
4	172	34400
5	179	29730
6	185	26311
7	193	23940
8	199	21999
9	205	20377
10	210	18930
11	216	17800
12	223	16973
13	231	16285
14	235	15497
15	240	14765
16	246	14233
17	255	13944
18	261	13479
19	266	13065
20	272	12716
21	281	12525
22	287	12208
23	293	11920
24	299	11670
25	305	11440
26	313	11312
27	320	11128
28	325	10890
29	330	10677
30	337	10553
31	344	10422
32	352	10325
33	359	10205
34	365	10076
35	374	10040
36	380	9911
37	385	9757
38	389	9605
39	405	9727
40	417	9774
41	423	9655
42	435	9689
43	442	9617
44	448	9508
45	453	9402
46	459	9317
47	465	9239
48	471	9142
49	475	9038
50	480	8935
51	484	8831
52	490	8770
53	499	8747
54	505	8686
55	510	8601
56	516	8547
57	523	8500
58	529	8438
59	534	8377
60	539	8311
61	545	8250
62	552	8219
63	559	8189
64	568	8183
65	577	8165
66	585	8148
67	595	8164
68	603	8144
69	609	8100
70	617	8076
71	624	8051
72	630	8010
73	636	7962
74	645	7955
75	652	7930
76	656	7874
77	662	7825
78	669	7808
79	677	7787
80	685	7773
81	695	7790
82	703	7775
83	708	7721
84	715	7696
85	727	7728
86	743	7798
87	753	7808
88	757	7757
89	763	7718
90	767	7671
91	773	7638
92	788	7693
93	796	7677
94	800	7630
95	810	7628
96	816	7601
97	825	7597
98	829	7552
99	833	7504
100	837	7101	864	7612
102	873	7604
103	877	7563
104	888	7577
105	897	7569
106	903	7538
107	908	7503
108	920	7520
109	932	7544
110	940	7532
111	948	7516
112	957	7519
113	964	7497
114	970	7471
115	980	7469
116	987	7456
117	993	7422
118	997	7387
119	1004	7364
120	1013	7363
121	1018	7328
122	1024	73012123	1034	7307
124	1045	7315
125	1056	7330
126	1065	7325
127	1072	7305
128	1085	7328
129	1094	7322
130	1101	7307
131	1109	7298
132	1118	7288
133	1127	7285
134	1132	7253
135	1143	7266
136	1151	7256
137	1159	7244
138	1164	7213
139	1173	7207
140	1180	7189
141	1186	7168
142	1191	7138
143	1200	7138
144	1208	7124
145	1212	70914146	1220	7081
147	1226	7058
148	1238	7074
149	1244	7051
150	1250	7029
151	1260	7032
152	1278	7076
153	1305	7171
154	1333	7271
155	1344	7275
156	1359	7299
157	1383	7370
158	1398	7396
159	1412	7414
160	1428	7446
161	1451	7508
162	1462	7511
163	1469	7492
164	1481	7496
165	1490	7488
166	1499	7480
167	1515	7505
168	1527	7510
169	1544	7539
170	1552	7526
171	1562	7522
172	1569	7501
173	1573	7469
174	1579	7446
175	1588	7435
176	1594	7412
177	1600	7389
178	1604	7357
179	1612	7346
180	1619	7327
181	1625	7306
182	1630	7281
183	1635	7251
184	1644	7243
185	1654	7242
186	1660	7218
187	1665	7195
188	1673	7182
189	1682	7173
190	1693	7174
191	1703	7167
192	1717	7180
193	1728	7181
194	1739	7179
195	1749	7175
196	1756	7161
197	1761	7136
198	1769	7122
199	1775	7102
200	1780	7078
201	1786	7056
202	1791	7034
203	1801	7030
204	1810	7019
205	1814	6995
206	1820	6975
207	1831	6972
208	1840	6965
209	1846	6945
210	1851	6922
211	1862	6923
212	1867	6901
213	1875	6888
214	1883	6875
215	1891	6864
216	1899	6853
217	1904	6830
218	1910	6814
219	1917	6800
220	1925	6785
221	1932	6772
222	1939	6757
223	1945	6738
224	1950	6717
225	1955	6696
226	1963	6685
227	1975	6688
228	1986	6688
229	1992	6671
230	1999	6656
231	2004	6635
232	2010	6617
233	2022	6619
234	2028	6603
235	2034	6586
236	2041	6573
237	2049	6561
238	2057	6551
239	2062	6531
240	2069	6517
241	2078	6509
242	2085	6496
243	2091	6480
244	2096	6459
245	2105	6452
246	2109	6431
247	2114	6410
248	2119	6391
249	2123	6369
250	2127	6347
251	2131	6327
252	2137	6309
253	2141	6290
254	2146	6270
255	2150	6249
256	2154	6229
257	2158	6208
258	2163	6189
259	2167	6169
260	2172	6151
261	2176	6129
262	2185	6124
263	2196	6123
264	2201	6106
265	2207	6090
266	2212	6075
267	2219	6061
268	2226	6051
269	2236	6047
270	2242	6033
271	2252	6028
272	2259	6017
273	2264	5999
274	2269	5983
275	2274	5966
276	2284	5962
277	2294	5958
278	2300	5943
279	2304	5927
280	2313	5920
281	2321	5909
282	2328	5898
283	2335	5887
284	2344	5882
285	2352	5874
286	2359	5862
287	2365	5848
288	2374	5842
289	2382	5832
290	2387	5817
291	2392	5800
292	2397	5784
293	2405	5775
294	2413	5768
295	2421	5759
296	2428	5747
297	2435	5736
298	2441	5723
299	2446	5708
300	2455	5701
301	2461	5689
302	2468	5678
303	2473	5662
304	2486	5665
305	2493	5654
306	2498	5639
307	2503	5625
308	2522	5640
309	2531	5633
310	2535	5616
311	2548	5620
312	2559	5617
313	2568	5611
314	2579	5609
315	2586	5599
316	2592	5586
317	2600	5577
318	2607	5566
319	2615	5558
320	2628	5560
321	2641	5562
322	2662	5580
323	2671	5574
324	2682	5570
325	2687	5556
326	2694	5545
327	2700	5531
328	2707	5522
329	2715	5514
330	2722	5503
331	2731	5495
332	2737	5482
333	2741	5467
334	2750	5459
335	2757	5448
336	2764	5438
337	2772	5429
338	2778	5416
339	2786	5409
340	2796	5403
341	2804	5395
342	2815	5393
343	2823	5385
344	2828	5370
345	2834	5356
346	2839	5342
347	2846	5333
348	2853	5322
349	2858	5308
350	2863	5294
351	2869	5281
352	2876	5271
353	2880	5256
354	2889	5249
355	2894	5235
356	2900	5223
357	2906	5212
358	2913	5202
359	2923	5197
360	2931	5189
361	2946	5192
362	2956	5188
363	2965	5181
364	2977	5180
365	2987	5175
366	3003	5180
367	3021	5188
368	3031	5184
369	3039	5175
370	3055	5179
371	3069	5181
372	3077	5173
373	3088	5169
374	3093	5156
375	3104	5152
376	3112	5142
377	3121	5136
378	3127	5125
379	3138	5120
380	3144	5108
381	3154	5103
382	3163	5096
383	3172	5088
384	3180	5079
385	3184	5066
386	3191	5054
387	3199	5045
388	3206	5036
389	3213	5025
390	3224	5022
391	3235	5017
392	3247	5015
393	3256	5009
394	3273	5013
395	3280	5004
396	3298	5010
397	3315	5015
398	3324	5007
399	3335	5002
400	3349	5002
401	3355	4991
402	3362	4980
403	3371	4973
404	3379	4965
405	3385	4953
406	3392	4943
407	3401	4934
408	3407	4924
409	3415	4914
410	3423	4905
411	3431	4897
412	3438	4887
413	3445	4876
414	3455	4870
415	3468	4869
416	3474	4857
417	3478	4843
418	3488	4836
419	3499	4833
420	3504	4819
421	3508	4806
422	3517	4797
423	3522	4785
424	3532	4779
425	3536	4764
426	3541	4752
427	3554	4750
428	3560	4738
429	3565	4726
430	3571	4715
431	3576	4702
432	3584	4693
433	3604	4700
434	3613	4693
435	3623	4687
436	3631	4678
437	3643	4674
438	3651	4666
439	3663	4662
440	3667	4649
441	3672	4636
442	3677	4623
443	3685	4615
444	3693	4605
445	3697	4592
446	3701	4579
447	3706	4567
448	3711	4555
449	3719	4545
450	3726	4536
451	3730	4523
452	3735	4510
453	3741	4499
454	3745	4486
455	3755	4479
456	3762	4470
457	3773	4464
458	3781	4456
459	3787	4446
460	3795	4437
461	3812	4440
462	3820	4430
463	3826	4420
464	3832	4409
465	3845	4406
466	3857	4402
467	3865	4394
468	3872	4384
469	3878	4373
470	3885	4363
471	3890	4352
472	3896	4341
473	3913	4343
474	3922	4335
475	3935	4332
476	3942	4323
477	3951	4315
478	3964	4311
